id,name,num_games,win_games,winrate
1,Anti-Mage,26484,13247,50.01887932336505
2,Axe,36506,19033,52.13663507368652
3,Bane,4277,2134,49.89478606499883
4,Bloodseeker,10632,5692,53.536493604213696
5,Crystal Maiden,25737,12869,50.00194272836772
6,Drow Ranger,33671,17047,50.628136972468894
7,Earthshaker,34263,16927,49.403146251058
8,Juggernaut,35845,18701,52.1718510252476
9,Mirana,8716,3897,44.71087654887563
10,Morphling,19899,9488,47.68078797929544
11,Shadow Fiend,32214,15323,47.566275532377226
12,Phantom Lancer,7098,3435,48.39391377852916
13,Puck,14963,7341,49.06101717570006
14,Pudge,48349,24451,50.57188359635153
15,Razor,13620,6954,51.057268722466965
16,Sand King,13101,6512,49.706129303106636
17,Storm Spirit,16157,8050,49.82360586742588
18,Sven,5586,2508,44.89795918367347
19,Tiny,14356,6976,48.592922819726944
20,Vengeful Spirit,19342,9765,50.48598903939613
21,Windranger,10197,4348,42.63999215455526
22,Zeus,28825,14712,51.039028620988724
23,Kunkka,7680,3670,47.78645833333333
25,Lina,39685,19983,50.35403804964093
26,Lion,53251,26383,49.54460949090158
27,Shadow Shaman,26781,14239,53.16829095254098
28,Slardar,11638,5643,48.48771266540643
29,Tidehunter,14745,7532,51.081722617836554
30,Witch Doctor,37110,19274,51.93748315817839
31,Lich,36254,20194,55.70143984112098
32,Riki,10159,5215,51.33379269613151
33,Enigma,7337,3679,50.143110263050296
34,Tinker,5478,2617,47.772909821102594
35,Sniper,40304,19545,48.49394601032155
36,Necrophos,24673,12900,52.28387305961982
37,Warlock,17987,9525,52.954911880802804
38,Beastmaster,6762,3168,46.850044365572316
39,Queen of Pain,26523,13031,49.13094295517099
40,Venomancer,15465,7829,50.623989654057546
41,Faceless Void,12447,5736,46.083393588816584
42,Wraith King,23187,12376,53.3747358433605
43,Death Prophet,5364,2671,49.794929157345265
44,Phantom Assassin,38542,19369,50.254268071195064
45,Pugna,10110,4971,49.169139465875375
46,Templar Assassin,9443,4267,45.18691093932013
47,Viper,15394,7596,49.34390022086527
48,Luna,10458,4739,45.31459170013387
49,Dragon Knight,23128,11365,49.13957108267036
50,Dazzle,17045,8206,48.14315048401291
51,Clockwerk,17492,9062,51.806540132632065
52,Leshrac,4654,2296,49.33390631714654
53,Nature's Prophet,15509,6857,44.21303759107615
54,Lifestealer,16945,8919,52.63499557391561
55,Dark Seer,3142,1579,50.25461489497136
56,Clinkz,7238,3705,51.18817352859906
57,Omniknight,3348,1623,48.47670250896057
58,Enchantress,5564,2597,46.675053918044576
59,Huskar,10625,5138,48.35764705882353
60,Night Stalker,14722,7885,53.55929900828692
61,Broodmother,5954,3040,51.058112193483375
62,Bounty Hunter,15410,7859,50.99935107073329
63,Weaver,13180,6257,47.47344461305008
64,Jakiro,25225,12638,50.10109018830525
65,Batrider,3424,1516,44.27570093457944
66,Chen,973,428,43.98766700924974
67,Spectre,33737,17565,52.06449891810179
68,Ancient Apparition,14757,7643,51.792369722843404
69,Doom,9241,4263,46.13137106373769
70,Ursa,18234,9017,49.451573982669736
71,Spirit Breaker,25555,13218,51.72373312463314
72,Gyrocopter,11336,5324,46.965419901199716
73,Alchemist,16568,8243,49.75253500724288
74,Invoker,33538,15994,47.689188383326375
